name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
This is Going to Hurt,Adam Kay,1,4.5,7.6,$,11.4,9781509858637,1,dataset/Medical/0000001.jpg
"Thinking, Fast and Slow",Daniel Kahneman,1,4.0,11.5,$,15.0,9780141033570,1,dataset/Medical/0000002.jpg
When Breath Becomes Air,Paul Kalanithi,1,4.5,9.05,$,11.5,9781784701994,1,dataset/Medical/0000003.jpg
The Happiness Trap,Russ Harris,1,4.0,8.34,$,13.9,9781845298258,1,dataset/Medical/0000004.jpg
The Man Who Mistook His Wife for a Hat,Oliver Sacks,1,4.0,5.92,$,14.8,9780330523622,1,dataset/Medical/0000006.jpg
The 8-week Blood Sugar Diet,Michael Mosley,1,4.0,8.85,$,11.3,9781780722405,1,dataset/Medical/0000007.jpg
The Clever Guts Diet,Michael Mosley,1,4.0,8.92,$,11.3,9781780723044,1,dataset/Medical/0000008.jpg
Being Mortal,Atul Gawande,1,4.5,9.03,$,11.5,9781846685828,1,dataset/Medical/0000010.jpg
Gut,Giulia Enders,1,4.0,10.49,$,11.4,9781925228601,1,dataset/Medical/0000011.jpg
The Brain That Changes Itself,Norman Doidge,1,4.0,11.03,$,13.9,9780141038872,1,dataset/Medical/0000012.jpg
Medical Medium Liver Rescue,Anthony William,2,4.0,23.76,$,32.5,9781401954406,1,dataset/Medical/0000013.jpg
Wreck This Journal,Keri Smith,1,4.0,9.59,$,12.9,9780141976143,1,dataset/Medical/0000014.jpg
12 Rules for Life,Jordan B. Peterson,2,4.0,20.99,$,25.2,9780241351635,1,dataset/Medical/0000015.jpg
12 Rules for Life,Jordan B. Peterson,1,4.0,10.26,$,12.9,9780141988511,1,dataset/Medical/0000016.jpg
Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,1,4.0,19.48,$,26.5,9780954852023,1,dataset/Medical/0000017.jpg
Medical Medium Thyroid Healing,Anthony William,2,4.0,17.26,$,26.5,9781401948368,1,dataset/Medical/0000018.jpg
Steal Like an Artist,Austin Kleon,1,4.0,8.81,$,11.95,9780761169253,1,dataset/Medical/0000019.jpg
Sitting Still Like A Frog,Eline Snel,1,4.0,10.4,$,15.0,9781611800586,1,dataset/Medical/0000020.jpg
How Not To Die,Michael Greger,1,4.5,10.33,$,12.4,9781509852505,1,dataset/Medical/0000021.jpg
The Whole-Brain Child,Tina Payne Bryson,1,4.0,11.23,$,17.0,9781780338378,1,dataset/Medical/0000022.jpg
Birth Skills,Juju Sundin,1,4.0,17.03,$,21.1,9780091922146,1,dataset/Medical/0000023.jpg
Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association,1,4.0,95.94,$,144.5,9780890425558,1,dataset/Medical/0000024.jpg
Medical Medium Celery Juice,Anthony William,2,4.0,14.01,$,18.0,9781401957650,1,dataset/Medical/0000025.jpg
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,2,4.0,13.03,$,16.0,9780241250990,1,dataset/Medical/0000026.jpg
Proof of Heaven,Dr. Eben Alexander,1,3.5,13.01,$,17.0,9781451695199,1,dataset/Medical/0000028.jpg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,1,4.0,8.48,$,12.9,9780330533447,1,dataset/Medical/0000029.jpg
The Complete Guide to Asperger's Syndrome,Tony Attwood,1,4.0,20.08,$,24.0,9781843106692,1,dataset/Medical/0000030.jpg
The Checklist Manifesto,Atul Gawande,1,4.0,9.04,$,12.9,9781846683145,1,dataset/Medical/0000031.jpg
Do No Harm,Henry Marsh,1,4.0,8.0,$,11.4,9781780225920,1,dataset/Medical/0000032.jpg
The Anatomy Coloring Book,Wynn Kapit,1,4.0,24.25,$,26.0,9780321832016,1,dataset/Medical/0000033.jpg
The Plant Paradox,Steven R. Gundry,2,3.5,16.53,$,29.9,9780062427137,1,dataset/Medical/0000034.jpg
Wreck This Journal Everywhere,Keri Smith,1,4.0,5.83,$,7.8,9781846148583,1,dataset/Medical/0000035.jpg
How to Change Your Mind,Michael Pollan,1,4.5,10.28,$,12.4,9780141985138,1,dataset/Medical/0000036.jpg
Raising an Emotionally Intelligent Child,John Gottman,1,4.0,11.21,$,17.0,9780684838656,1,dataset/Medical/0000037.jpg
Allen Carr's Easy Way to Stop Smoking,Allen Carr,1,4.5,9.53,$,12.4,9781405923316,1,dataset/Medical/0000038.jpg
The Mindful Way through Depression,J. Mark G. Williams,1,4.0,17.54,$,21.1,9781593851286,1,dataset/Medical/0000039.jpg
Call The Midwife,Jennifer Worth,1,4.0,7.9,$,11.4,9780753823835,1,dataset/Medical/0000040.jpg
The Dialectical Behavior Therapy Skills Workbook,Matthew McKay,1,4.0,15.49,$,26.3,9781572245136,1,dataset/Medical/0000041.jpg
The Reality Slap,Russ Harris,1,4.0,7.82,$,12.4,9781780332024,1,dataset/Medical/0000042.jpg
"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,1,4.5,13.64,$,17.0,9780465094455,1,dataset/Medical/0000043.jpg
Strength Training Anatomy,Frederic Delavier,1,4.5,13.83,$,13.99,9780736092265,1,dataset/Medical/0000044.jpg
The Brain That Changes Itself,Norman Doidge,1,4.0,15.22,$,18.0,9780143113102,1,dataset/Medical/0000045.jpg
Mating in Captivity,Esther Perel,1,4.0,12.37,$,16.0,9780060753641,1,dataset/Medical/0000047.jpg
This is Going to Hurt,Adam Kay,2,4.5,12.81,$,21.1,9781509858613,1,dataset/Medical/0000048.jpg
You Are the Placebo,Joe Dispenza,1,4.5,14.4,$,17.0,9781781802571,1,dataset/Medical/0000049.jpg
Radical Acceptance,Tara Brach,1,4.0,13.88,$,17.0,9780553380996,1,dataset/Medical/0000050.jpg
Awakenings,Oliver Sacks,1,4.0,6.03,$,13.9,9780330523677,1,dataset/Medical/0000051.jpg
Unnatural Causes,Dr Richard Shepherd,1,4.5,9.45,$,11.4,9781405923538,1,dataset/Medical/0000052.jpg
Oxford Handbook of Clinical Medicine,Ian B. Wilkinson,1,4.5,36.98,$,40.7,9780199689903,1,dataset/Medical/0000053.jpg
"DBT Skills Training Manual, Second Edition",Marsha M. Linehan,1,4.5,41.39,$,49.0,9781462516995,1,dataset/Medical/0000054.jpg
Becoming Supernatural,Joe Dispenza,1,4.5,17.8,$,20.1,9781401953119,1,dataset/Medical/0000056.jpg
Anatomy Trains,Thomas W. Myers,1,4.5,51.23,$,59.0,9780702046544,1,dataset/Medical/0000057.jpg
Hallucinations,Oliver Sacks,1,4.0,5.66,$,12.9,9781447208266,1,dataset/Medical/0000058.jpg
Loving What Is,Byron Katie,1,4.0,13.71,$,21.1,9781400045372,1,dataset/Medical/0000059.jpg
The Body Keeps the Score,Bessel van der Kolk,1,4.5,14.56,$,21.5,9780143127741,1,dataset/Medical/0000061.jpg
Rewire Your Anxious Brain,Catherine M. Pittman,1,4.0,10.14,$,16.0,9781626251137,1,dataset/Medical/0000063.jpg
Shadows Of The Workhouse,Jennifer Worth,1,4.0,8.04,$,11.4,9780753825853,1,dataset/Medical/0000064.jpg
Call The Midwife,Jennifer Worth,1,4.0,7.89,$,11.4,9780753827871,1,dataset/Medical/0000065.jpg
